"name","parent_name","status","lat","lng"
"BM001",,"Unavailable","-21.81995010715307","147.9832692537152"
"BM002","BM001","Unavailable","-21.81858620382221","147.9870819671248"
"BM003","BM001","Unavailable","-21.82222764692145","147.986560002012"
"BM004","BM002","Unavailable","-21.81563589111602","147.9859551818213"
"BM005","BM002","Available","-21.8155335754045","147.9889084288815"
"BM006","BM002","Available","-21.81836188658111","147.9906470314353"
"BM007","BM003","Unavailable","-21.82092982594859","147.9902778848154"
"BM008","BM003","Available","-21.82389880149532","147.9899759619491"
"BM009B","BM003","Available","-21.8256891984768","147.986484237867"
"BM009","BM009B","Unavailable","-21.82767576463771","147.9839149227014"
"BM010","BM009B","Unavailable","-21.82804331342739","147.9875184491341"
"BM011","BM008","Available","-21.82689006471057","147.9904999474672"
"BM012","BM008","Available","-21.82473727748609","147.9926581129892"
"BM013","BM011","Available","-21.82887075086441","147.9942393962589"
"BM014","BM011","Unavailable","-21.83058570193226","147.9926578828177"
"BM015","BM010","Unavailable","-21.83099887336079","147.9899526605882"
"BM016","BM010","Unavailable","-21.83128046437875","147.9871799048297"
"BM017","BM009","Available","-21.83087912890352","147.9845436325769"
"BM018","BM009","Unavailable","-21.83046591238735","147.9821157042252"
"BM019","BM004","Available","-21.81226343423782","147.98609084333"
"BM020","BM005","Unavailable","-21.81280286149154","147.9892036731315"
"BM021","BM005","Unavailable","-21.81362216376794","147.9917325873691"
"BM022","BM006","Unavailable","-21.81594680770212","147.9925364625181"
"BM023","BM006","Unavailable","-21.81849013930057","147.9935555634674"
"BM024","BM007","Unavailable","-21.82051843389859","147.9935540639617"
"BM025","BM007","Unavailable","-21.82270986421789","147.9932830630656"
"BM026","BM019","Available","-21.80608234627734","147.9858164702472"
"BM027","BM019","Unavailable","-21.80792021017451","147.9881977589269"
"BM028","BM021","Available","-21.81084297496651","147.9926368335931"
"BM029","BM021","Unavailable","-21.81284596416276","147.9959182964893"
"BM030","BM022","Unavailable","-21.81463350345621","147.9993192216447"
"BM031","BM022","Unavailable","-21.81659124745063","147.997187010687"
"BM032","BM023","Available","-21.81848188651059","148.0001551897277"
"BM033","BM035","Available","-21.82091314441519","148.0002262393209"
"BM034","BM023","Unavailable","-21.81975824715314","147.9969430285708"
"BM035","BM025","Available","-21.82217096498385","147.9968616163032"
"BM036","BM037","Available","-21.82512583473424","147.9986954920296"
"BM037","BM012","Unavailable","-21.82517887439592","147.995322129271"
"BM038","BM012","Available","-21.82723931185393","147.9943102418896"
"BM039","BM028","Unavailable","-21.80728007070411","147.9935729452217"
"BM040","BM030","Available","-21.81278380230169","148.0027025740703"
"BM041","BM028","Available","-21.80937310055528","147.9962137567472"
"BM042","BM030","Unavailable","-21.8163187653566","148.0025745848851"
"BM043","BM035","Available","-21.82357666115815","148.0029612282583"
"BM044","BM036","Available","-21.82704281724294","148.0026322214334"
"BM045","BM013","Available","-21.83083183315196","147.9970049807285"
"BM046","BM013","Unavailable","-21.83273144341567","147.994378068696"
"BM047","BM015","Available","-21.83372775159516","147.9888521462707"
"BM048","BM017","Unavailable","-21.83363015124974","147.9833116630164"
"BM049","BM037","Unavailable","-21.8279508872439","147.9981774907887"
"BM050","BM029","Unavailable","-21.81122590784197","147.9988943673741"
"BM051","BM019","Unavailable","-21.81032978543172","147.9850283909422"
