"id","name","owner","lng","lat","description"
"1","Leigh Creek",,"138.416595","-30.480358","Name: Leigh Creek<br />State: SA<br />Longitude: 138.416588<br />Latitude: -30.480359<br />Commodities: Coal - black<br />Websites:<br /><br />"
"2","Anglesea",,"144.169968","-38.391750","Name: Anglesea<br />State: VIC<br />Longitude: 144.169962<br />Latitude: -38.391751<br />Commodities: Coal - brown<br />Websites:<br /><br /><a href='http://www.dpi.vic.gov.au'>Department of Primary Industries</a><br /><a href='http://www.alcoa.com.au'>Alcoa of Australia Ltd</a><br />"
"3","Yallourn",,"146.360397","-38.195065","Name: Yallourn<br />State: VIC<br />Longitude: 146.360402<br />Latitude: -38.195064<br />Commodities: Coal - brown<br />Websites:<br /><br /><a href='http://www.clpgroup.com'>CLP Holdings</a><br /><a href='http://www.truenergy.com.au'>TRU Energy</a><br />"
"4","Hazelwood Mine",,"146.391006","-38.268963","Name: Hazelwood Mine<br />State: VIC<br />Longitude: 146.391003<br />Latitude: -38.268964<br />Commodities: Coal - brown<br />Websites:<br /><br /><a href='http://www.hazelwoodpower.com.au'>Hazelwood Power Corporation</a><br /><a href='http://www.ebac.com.au'>Energy Brix Australia</a><br />"
"5","Angus Place",,"150.199020","-33.349155","Name: Angus Place<br />State: NSW<br />Longitude: 150.199019<br />Latitude: -33.349157<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.centennialcoal.com.au'>Centennial Coal Co Ltd</a><br />"
"6","Clarence",,"150.243927","-33.456478","Name: Clarence<br />State: NSW<br />Longitude: 150.243930<br />Latitude: -33.456479<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.centennialcoal.com.au'>Centennial Coal Co Ltd</a><br />"
"7","Mount Owen",,"151.099976","-32.386841","Name: Mount Owen<br />State: NSW<br />Longitude: 151.099981<br />Latitude: -32.386840<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.mining-technology.com/projects/owen/'>Mount Owen Mine</a><br /><a href='http://www.xstrata.com'>Xstrata</a><br />"
"8","Ravensworth UG",,"151.037476","-32.436562","Name: Ravensworth UG<br />State: NSW<br />Longitude: 151.037482<br />Latitude: -32.436562<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.xstrata.com/'>Xstrata plc</a><br />"
"9","Rixs Creek",,"151.129990","-32.526840","Name: Rixs Creek<br />State: NSW<br />Longitude: 151.129982<br />Latitude: -32.526840<br />Commodities: Coal - black<br />Websites:<br /><br />"
"10","Coppabella",,"148.427185","-21.844555","Name: Coppabella<br />State: QLD<br />Longitude: 148.427187<br />Latitude: -21.844554<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.macarthurcoal.com.au'>Macarthur Coal Ltd</a><br />"
"11","Crinum","BHP","148.371002","-23.210106","Name: Crinum<br />State: QLD<br />Longitude: 148.371006<br />Latitude: -23.210105<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.mining-technology.com/projects/crinum/'>Crinum Mine</a><br /><a href='http://www.bmacoal.com'>BMA</a><br />"
"12","Meandu",,"151.911530","-26.813543","Name: Meandu<br />State: QLD<br />Longitude: 151.911523<br />Latitude: -26.813543<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.tarongenergy.com.au'>Tarong Energy</a><br />"
"13","Premier",,"116.286507","-33.391727","Name: Premier<br />State: WA<br />Longitude: 116.286509<br />Latitude: -33.391728<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www1.wesfarmers.com.au'>Wesfarmers</a><br /><a href='http://www.doir.wa.gov.au'>Department of Industry and Resources</a><br />"
"14","West Wallsend",,"151.604813","-32.947910","Name: West Wallsend<br />State: NSW<br />Longitude: 151.604811<br />Latitude: -32.947911<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.xstrata.com'>Xstrata</a><br /><a href='http://www.marubeni.com/'>Marubeni Corporation</a><br />"
"15","Westside",,"151.570007","-32.946823","Name: Westside<br />State: NSW<br />Longitude: 151.570003<br />Latitude: -32.946825<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.xstrata.com'>Xstrata</a><br /><a href='http://www.marubeni.com/'>Marubeni Corporation</a><br />"
